0 1 2 
1 0 3 4 
2 0 5 6 
3 1 7 8 
4 1 9 10 
5 2 11 12 
6 2 13 14 
7 3 15 16 
8 3 17 18 
9 4 19 20 
10 4 21 22 
11 5 23 24 
12 5 25 26 
13 6 27 28 
14 6 29 30 
15 7 33 42 
16 7 32 45 
17 8 35 40 
18 8 32 33 
19 9 36 46 
20 9 37 43 
21 10 39 44 
22 10 38 42 
23 11 41 46 
24 11 37 44 
25 12 38 40 
26 12 34 41 
27 13 31 34 
28 13 43 45 
29 14 36 39 
30 14 31 35 
31 27 30 47 
32 16 18 47 
33 15 18 48 
34 26 27 48 
35 17 30 49 
36 19 29 49 
37 20 24 50 
38 22 25 50 
39 21 29 51 
40 17 25 51 
41 23 26 52 
42 15 22 52 
43 20 28 53 
44 21 24 53 
45 16 28 54 
46 19 23 54 
47 31 32 55 
48 33 34 55 
49 35 36 56 
50 37 38 56 
51 39 40 57 
52 41 42 57 
53 43 44 58 
54 45 46 58 
55 47 48 59 
56 49 50 59 
57 51 52 60 
58 53 54 60 
59 55 56 61 
60 57 58 61 
61 59 60 
